company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,departure_delay_min,total_pax,checked_bags,transfer_bags,ground_time_stress,transfer_ratio,load_factor,SSR_intensity,difficulty_score,rank,category
OO,4792,2025-08-04,ORD,ROA,7.0,65,0,20,0.04619374409002819,0.05714285714285714,0.4333859171088485,0.10931759141141785,0.15835383507221845,480.0,Easy
UA,920,2025-08-03,ORD,LHR,22.0,171,0,37,0.046701984948045755,0.10571428571428572,0.5253144936285468,0.05981400168492873,0.1837305906571076,356.0,Medium
UA,1776,2025-08-10,ORD,PHL,111.0,180,0,38,0.04652989637682226,0.10857142857142857,0.5582219887725288,0.03804181008661804,0.18826568526635962,259.0,Medium
OO,5790,2025-08-06,ORD,CRW,105.0,55,0,40,0.054705440985880274,0.11428571428571428,0.5667574931880109,0.09422826147234341,0.20551808645866407,119.0,Difficult
UA,1398,2025-08-05,ORD,ATL,-4.0,136,0,51,0.046504038508607334,0.1457142857142857,0.41377499097206266,0.12260260493873773,0.17834405171191683,327.0,Medium
OO,5470,2025-08-07,ORD,GEG,-4.0,73,0,23,0.04646525170628494,0.06571428571428571,0.4907500358525743,0.05348063343453727,0.16375178259050793,439.0,Easy
UA,374,2025-08-15,ORD,MSP,28.0,128,0,60,0.046220804649788,0.17142857142857143,0.5209117252713983,0.11520606406077157,0.20999252838208315,96.0,Difficult
UA,1577,2025-08-15,ORD,SFO,-1.0,261,0,66,0.04702237123055204,0.18857142857142858,0.5751414797736324,0.05738872695959826,0.2165126838473505,80.0,Difficult
UA,881,2025-08-03,ORD,HND,25.0,370,0,231,0.04767014495262251,0.66,0.6013743937758127,0.04221119119770819,0.3380868801692816,3.0,Difficult
UA,2006,2025-08-09,ORD,GUA,10.0,188,0,59,0.0463906617018188,0.16857142857142857,0.5844850792817046,0.07301793861870284,0.21678491319756948,174.0,Difficult
UA,307,2025-08-14,ORD,COS,-4.0,147,0,24,0.046778316610744254,0.06857142857142857,0.41483871949827233,0.07957140268979819,0.15080031253860815,484.0,Easy
UA,1538,2025-08-08,ORD,SAV,-6.0,188,0,18,0.04763156183193272,0.05142857142857143,0.7804160719692056,0.06643247508935039,0.23553712441689414,43.0,Difficult
UA,1006,2025-08-02,ORD,LGA,60.0,199,0,32,0.04619374409002819,0.09142857142857143,0.6205968287318211,0.07330159105423975,0.20652479147795455,274.0,Difficult
G7,4395,2025-08-14,ORD,TVC,86.0,51,0,31,0.05056729042086356,0.08857142857142858,0.5231607629427794,0.0983267774121232,0.1877685904872357,236.0,Medium
